,Chlorophyll-a,Chlorophyll-b,DV chlorophyll-a,Chlorophyllide-a,Phaeophorbide-a,Phaeophytin-a,Chlorophyll C3,chlorophyll c2,Peridinin,19'-Butanoyloxyfucoxanthin,Fucoxanthin,Neoxanthin,Prasinoxanthin,19'-keto-hexanoyloxyfucoxanthin,Violaxanthin,19'-hexanoyloxyfucoxanthin,Astaxanthin,Diadinoxanthin,Dinoxanthin,Antheraxanthin,Alloxanthin,Myxoxanthophyll,Diatoxanthin,Zeaxanthin,Lutein,Canthaxanthin,Gyroxanthin diester,Echinenone,"B,e-carotene","B,B-carotene"
715,-8.725555555555428e-05,-1.5877777777777978e-05,-0.00010337844444444347,0.00040729788888889016,0.00030748611111111184,0.000303014,0.0004180588888888892,-9.973155555555608e-05,0.00023168155555555647,0.000517099,0.0003405824444444432,0.0013509749999999951,8.374111111111315e-05,0.0006780083333333321,0.0002044949999999999,-0.00043497677777777817,9.777666666666703e-05,0.0008655677777777753,0.0005729335555555563,0.00116417522222222,0.0002863928888888891,0.0006596927777777779,0.00023639522222221687,0.0003560277777777786,0.0002567996666666637,0.00027582177777777853,0.0008140678888888945,0.0003213402222222234,3.157777777777813e-05,0.000926299222222224
716,-5.4162499999999805e-05,-1.3375000000019028e-06,-0.00010698187499999711,0.00044392399999999984,0.0003245648750000003,0.0003021527500000002,0.0004303573749999997,-0.00010773875000000065,0.00025897324999999983,0.0005386189999999981,0.0003175921249999988,0.0012939212499999925,0.00011250937500000262,0.0006341336250000007,0.00023460737499999686,-0.00044473875000000017,0.0001311043749999978,0.0008286422499999968,0.0006188356249999975,0.0010770777500000023,0.0002835232500000007,0.0006553073750000007,0.0001603856249999932,0.00039499112499999855,0.00021476774999999618,0.00029445212500000027,0.0009066416250000059,0.0003335686250000019,6.016249999999821e-05,0.0009723022500000002
717,-8.639388888888962e-05,-2.0955555555556892e-05,-0.00013715944444444393,0.0004323678888888885,0.00030093966666666617,0.0002987667777777778,0.0003860246666666654,-9.62888888888889e-05,0.000266500888888889,0.0005243417777777765,0.0003192417777777773,0.0013663527777777761,8.091111111111147e-05,0.0006740813333333347,0.00024068522222222096,-0.0004450322222222223,0.0001138311111111097,0.0008540493333333326,0.0006629022222222221,0.001028165111111111,0.00029040644444444495,0.0006904935555555568,0.00018207888888888642,0.00040471466666666624,0.0002282845555555542,0.0002913056666666667,0.000862011555555557,0.0002947974444444443,2.398888888888718e-05,0.001014633777777779
718,-9.448225000000072e-05,-7.79499999999993e-05,-0.0001292239999999996,0.00039141600000000136,0.00029180949999999976,0.00029773950000000005,0.00041484224999999673,-0.00010139599999999975,0.0002499877500000009,0.0005272954999999981,0.00033432749999999853,0.001363462499999998,0.00010156549999999957,0.0006724917500000021,0.000243143999999998,-0.0004619334999999993,7.867499999999955e-05,0.0008249180000000002,0.0007127344999999976,0.0011018784999999964,0.00030656775,0.0006805202500000021,0.00020577424999999516,0.00038634550000000024,0.0002312064999999978,0.00031712499999999883,0.0008594045000000023,0.0002958454999999997,5.5774999999995935e-05,0.000987942750000003
719,-8.18555555555558e-05,-4.102222222222354e-05,-0.00010797677777777854,0.0003461127777777789,0.0003019932222222219,0.00028515677777777817,0.00041818900000000067,-0.00016337244444444255,0.00025344277777777745,0.0005274220000000004,0.0003557322222222219,0.0012151783333333385,7.046155555555665e-05,0.0007211849999999981,0.00019933277777777958,-0.0004406244444444453,0.0001494902222222201,0.0007571537777777798,0.000673081111111113,0.0010600600000000022,0.00028121588888888966,0.0006311516666666677,0.00014025033333333646,0.0004457015555555536,0.00017097900000000242,0.0003520901111111103,0.0008673882222222214,0.0003491096666666651,0.00013975822222222047,0.000980785444444444
720,-7.850000000000047e-05,-3.2488888888889264e-05,-0.00015414777777777782,0.0003774473333333318,0.00031158611111111074,0.0002969846666666673,0.00042563766666666564,-8.408766666666845e-05,0.00025565155555555563,0.0005264719999999993,0.00035870711111111005,0.0013284574444444456,6.128677777777935e-05,0.0007230442222222206,0.0001841901111111126,-0.0005075864444444437,0.00015228177777777555,0.0008349499999999997,0.0006324151111111121,0.00109417711111111,0.0002890732222222213,0.0006555020000000006,0.00019292655555555626,0.00041978533333333353,0.0002452983333333321,0.0003534576666666661,0.0008180013333333363,0.0003097944444444445,0.0001319648888888877,0.001017061333333332
721,-9.767822222222273e-05,-4.897777777777836e-05,-0.00016121266666666728,0.00034345222222222413,0.00029481877777777705,0.0003127773333333327,0.0003941083333333334,-0.00013128033333333213,0.0002550384444444439,0.0005046320000000001,0.0003284148888888892,0.0013774425555555577,0.00010465188888888813,0.0006719364444444443,0.00021894699999999836,-0.00048452600000000015,8.913777777777866e-05,0.000834422666666668,0.0006625064444444441,0.0010752615555555585,0.00026083211111111126,0.0006795671111111116,0.00021657188888888913,0.00040722955555555333,0.00020774433333333345,0.000326424333333332,0.0008827262222222185,0.00031710200000000053,9.378888888888881e-05,0.0009702262222222217
722,-0.00011194324999999997,-5.018750000000141e-05,-0.00014196625000000344,0.0003774918750000018,0.00028681749999999884,0.0002985842499999998,0.00041024462499999857,-0.00012736549999999721,0.00025919649999999817,0.000507534125,0.00032941362500000067,0.0013935078750000039,8.260000000000006e-05,0.0006863809999999982,0.00016884100000000044,-0.00047782900000000107,0.00011032175000000029,0.0008637143750000006,0.0006272378750000026,0.0011294033750000021,0.00026120137500000037,0.0007014442499999992,0.00018112600000000394,0.0003777893749999969,0.0002240848749999988,0.00027634637500000117,0.0008511654999999935,0.0003136853750000017,9.901324999999934e-05,0.0009682918749999987
723,-0.00010644199999999985,-5.666666666666746e-05,-0.00012469222222222332,0.00038638944444444544,0.00030452388888888883,0.0002912302222222219,0.00042466622222222194,-0.0001331368888888878,0.0002563106666666658,0.00047146711111111016,0.00029180299999999933,0.001325976,8.159999999999999e-05,0.0006915715555555549,0.00016892377777777797,-0.0004904862222222231,0.00013774411111111193,0.0008242438888888882,0.0006198865555555565,0.001038251222222221,0.000285604222222223,0.000658992444444443,0.00016727266666666807,0.00042217666666666644,0.00024136411111111102,0.0002758992222222227,0.0008836652222222202,0.0002875937777777779,0.00010981199999999998,0.000956872777777777
724,-8.0596500000001e-05,-1.524000000000314e-05,-0.0001191795000000019,0.00038580475000000156,0.0003087769999999997,0.0002981479999999992,0.00038727425000000134,-0.00013925374999999808,0.0002525982499999989,0.00044468974999999983,0.00030351374999999846,0.0013409144999999992,6.142500000000096e-05,0.0006402422500000013,0.00013950975000000167,-0.00048540775000000143,9.090325000000344e-05,0.000841404749999998,0.0006200522500000014,0.0011185967499999943,0.00029248100000000085,0.000634840499999999,6.137350000000715e-05,0.0004014262500000006,0.00022749650000000051,0.00026336975000000135,0.000837083499999999,0.0002896690000000001,7.392500000000166e-05,0.0009655239999999983
725,-7.528888888888885e-05,-1.5679999999999287e-05,-0.00010307022222222231,0.00034231800000000107,0.0002870914444444452,0.0002914751111111115,0.000441806999999998,-0.00018811611111111,0.0002462358888888894,0.0004173170000000009,0.0003048506666666669,0.0014181246666666646,9.437777777779212e-06,0.0006058318888888897,8.076300000000149e-05,-0.0004930627777777772,0.00012190666666666491,0.0008132742222222235,0.0005708682222222235,0.0011308588888888898,0.00022495800000000196,0.0006270433333333338,9.93648888888861e-05,0.0003937094444444445,0.00025513233333333233,0.0003636615555555521,0.0007592272222222249,0.0002466177777777791,0.00010952622222222074,0.0009503923333333341
